n_fds,round,n_attrs,fds,order_secs,graph_secs,repair_secs,total_secs
10,25,11,model->engine_type; model->airbags; model->width; model->length; model->max_power; engine_type->displacement; engine_type->fuel_type; region_code->region_density; max_torque->max_power; max_power->max_torque,0.0007,0.1199,0.1372,0.2578
10,26,11,model->engine_type; model->airbags; model->width; model->length; model->is_power_steering; model->max_power; engine_type->displacement; region_code->region_density; max_torque->max_power; max_power->max_torque,0.0009,0.1998,0.1107,0.3114
10,27,11,model->engine_type; model->airbags; model->width; model->length; model->is_power_steering; model->max_power; engine_type->displacement; region_code->region_density; max_torque->max_power; max_power->max_torque,0.0007,0.067,0.1087,0.1764
10,28,12,model->airbags; model->width; model->length; model->is_power_steering; model->max_power; engine_type->displacement; engine_type->fuel_type; region_code->region_density; max_torque->max_power; max_power->max_torque,0.0008,0.087,0.1146,0.2024
10,29,11,model->engine_type; model->airbags; model->length; model->is_power_steering; model->max_power; engine_type->displacement; engine_type->fuel_type; region_code->region_density; max_torque->max_power; max_power->max_torque,0.0007,0.0667,0.1079,0.1753
11,1,12,model->engine_type; model->airbags; model->width; model->length; model->is_power_steering; model->max_power; engine_type->displacement; engine_type->fuel_type; region_code->region_density; max_torque->max_power; max_power->max_torque,0.0008,0.1656,0.1333,0.2996
11,2,12,model->engine_type; model->airbags; model->width; model->length; model->is_power_steering; model->max_power; engine_type->displacement; engine_type->fuel_type; region_code->region_density; max_torque->max_power; max_power->max_torque,0.0012,0.1656,0.1221,0.2888
11,3,12,model->engine_type; model->airbags; model->width; model->length; model->is_power_steering; model->max_power; engine_type->displacement; engine_type->fuel_type; region_code->region_density; max_torque->max_power; max_power->max_torque,0.0008,0.0773,0.1301,0.2082
11,4,12,model->engine_type; model->airbags; model->width; model->length; model->is_power_steering; model->max_power; engine_type->displacement; engine_type->fuel_type; region_code->region_density; max_torque->max_power; max_power->max_torque,0.0007,0.2076,0.1318,0.3401
11,5,12,model->engine_type; model->airbags; model->width; model->length; model->is_power_steering; model->max_power; engine_type->displacement; engine_type->fuel_type; region_code->region_density; max_torque->max_power; max_power->max_torque,0.0011,0.2159,0.1623,0.3792
11,6,12,model->engine_type; model->airbags; model->width; model->length; model->is_power_steering; model->max_power; engine_type->displacement; engine_type->fuel_type; region_code->region_density; max_torque->max_power; max_power->max_torque,0.0011,0.226,0.1162,0.3433
11,7,12,model->engine_type; model->airbags; model->width; model->length; model->is_power_steering; model->max_power; engine_type->displacement; engine_type->fuel_type; region_code->region_density; max_torque->max_power; max_power->max_torque,0.0008,0.072,0.1193,0.1921
11,8,12,model->engine_type; model->airbags; model->width; model->length; model->is_power_steering; model->max_power; engine_type->displacement; engine_type->fuel_type; region_code->region_density; max_torque->max_power; max_power->max_torque,0.0007,0.2428,0.1351,0.3786
11,9,12,model->engine_type; model->airbags; model->width; model->length; model->is_power_steering; model->max_power; engine_type->displacement; engine_type->fuel_type; region_code->region_density; max_torque->max_power; max_power->max_torque,0.0007,0.1887,0.1274,0.3168
11,10,12,model->engine_type; model->airbags; model->width; model->length; model->is_power_steering; model->max_power; engine_type->displacement; engine_type->fuel_type; region_code->region_density; max_torque->max_power; max_power->max_torque,0.0007,0.0937,0.1216,0.216
11,11,12,model->engine_type; model->airbags; model->width; model->length; model->is_power_steering; model->max_power; engine_type->displacement; engine_type->fuel_type; region_code->region_density; max_torque->max_power; max_power->max_torque,0.0007,0.1417,0.1355,0.2778
11,12,12,model->engine_type; model->airbags; model->width; model->length; model->is_power_steering; model->max_power; engine_type->displacement; engine_type->fuel_type; region_code->region_density; max_torque->max_power; max_power->max_torque,0.0007,0.2054,0.1315,0.3376
11,13,12,model->engine_type; model->airbags; model->width; model->length; model->is_power_steering; model->max_power; engine_type->displacement; engine_type->fuel_type; region_code->region_density; max_torque->max_power; max_power->max_torque,0.0007,0.1385,0.1248,0.264
